x,,,,,rssi,realdist,time
c2:02:0b:00:05:44,,,,,-95,4,
c2:02:0b:00:05:44,,,,,-93,5,
c2:02:0b:00:05:44,,,,,-88,6,
c2:02:0b:00:05:44,,,,,-95,6,
c2:02:0b:00:05:44,,,,,-97,7,
c2:02:0b:00:05:44,,,,,-72,7,
c2:02:0b:00:05:44,,,,,-92,6,
c2:02:0b:00:05:44,,,,,-85,7,
c2:02:0b:00:05:44,,,,,-74,7,
c2:02:0b:00:05:44,,,,,-82,7,
c2:02:0b:00:05:44,,,,,-74,6,
c2:02:0b:00:05:44,,,,,-93,5,
c2:02:0b:00:05:44,,,,,-84,5,
c2:02:0b:00:05:44,,,,,-75,4,
c2:02:0b:00:05:44,,,,,-85,5,
c2:02:0b:00:05:44,,,,,-97,4,
c2:02:0b:00:05:44,,,,,-87,3,
c2:02:0b:00:05:44,,,,,-76,4,
c2:02:0b:00:05:44,,,,,-88,5,
c2:02:0b:00:05:44,,,,,-76,4,
c2:02:0b:00:05:44,,,,,-89,4,
c2:02:0b:00:05:44,,,,,-79,5,
c2:02:0b:00:05:44,,,,,-91,4,
c2:02:0b:00:05:44,,,,,-94,4,
c2:02:0b:00:05:44,,,,,-74,3,
c2:02:0b:00:05:44,,,,,-84,4,
c2:02:0b:00:05:44,,,,,-80,3,
c2:02:0b:00:05:44,,,,,-77,4,
c2:02:0b:00:05:44,,,,,-89,3,
c2:02:0b:00:05:44,,,,,-96,3,
c2:02:0b:00:05:44,,,,,-95,2,
c2:02:0b:00:05:44,,,,,-81,1,
c2:02:0b:00:05:44,,,,,-82,1,
c2:02:0b:00:05:44,,,,,-88,2,
c2:02:0b:00:05:44,,,,,-79,2,
c2:02:0b:00:05:44,,,,,-92,2,
c2:02:0b:00:05:44,,,,,-92,2,
c2:02:0b:00:05:44,,,,,-92,2,
c2:02:0b:00:05:44,,,,,-93,1,
c2:02:0b:00:05:44,,,,,-91,2,
c2:02:0b:00:05:44,,,,,-82,1,
c2:02:0b:00:05:44,,,,,-97,2,
c2:02:0b:00:05:44,,,,,-77,1,
c2:02:0b:00:05:44,,,,,-74,1,
c2:02:0b:00:05:44,,,,,-87,1,
c2:02:0b:00:05:44,,,,,-94,1,
c2:02:0b:00:05:44,,,,,-80,2,
c2:02:0b:00:05:44,,,,,-97,3,
c2:02:0b:00:05:44,,,,,-96,3,
c2:02:0b:00:05:44,,,,,-78,3,
c2:02:0b:00:05:44,,,,,-91,3,
c2:02:0b:00:05:44,,,,,-76,3,
c2:02:0b:00:05:44,,,,,-85,4,
c2:02:0b:00:05:44,,,,,-76,4,
c2:02:0b:00:05:44,,,,,-94,3,
c2:02:0b:00:05:44,,,,,-91,3,
c2:02:0b:00:05:44,,,,,-93,4,
